dataset,filename,description,category_id,category,overall_score,background_cleanliness,text_watermark_score,product_prominence,commercial_appeal,bg_class,needs_bg_replacement,reason
bg60k,3660.png,dress,0,women dresses,8.0,6,10,9,7,lifestyle,False,"The product is displayed against a staged interior background featuring wood panelling, a shelf with decorative items, and a neutral-toned wall."
bg60k,34409.png,dress,0,women dresses,8.5,9,10,8,7,plain,False,"The product is displayed against a solid, light green background with a subtle gradient effect."
bg60k,13885.png,dress,0,women dresses,8.0,9,10,7,6,plain,False,"The product is displayed against a solid, light green background."
bg60k,13068.png,dress,0,women dresses,8.75,10,10,9,7,plain,False,The product is set against a very light grey gradient background.
bg60k,43361.png,dress,0,women dresses,4.5,6,1,7,4,lifestyle,False,"The image is significantly detracted by the large, distracting text overlays."
bg60k,13882.png,dress,0,women dresses,7.75,9,10,7,6,plain,False,"The product is displayed against a solid, muted green background."
bg60k,48129.png,dress,0,women dresses,8.25,7,10,9,7,plain,False,The product is displayed against a plain white background with a partial view of a clothing rack and a camera strap visible in the periphery.
bg60k,29756.png,dress,0,women dresses,8.5,9,10,8,7,plain,False,"The product is displayed against a plain, off-white wall with soft shadow effects."
bg60k,13880.png,dress,0,women dresses,8.5,9,10,8,7,plain,False,"The product is displayed against a solid, muted green background with a subtle gradient and a blurred, abstract shape at the bottom."
bg60k,13881.png,dress,0,women dresses,7.0,9,5,8,6,plain,False,"The product is displayed against a solid, light green background with a blurred, gradient-like effect at the bottom."
bg60k,43363.png,dress,0,women dresses,7.75,8,10,7,6,plain,False,"The product is displayed on a gradient green background with a subtle, blurred texture resembling fabric or a wall."
bg60k,33905.png,dress,0,women dresses,8.75,10,10,9,7,plain,False,The product is displayed against a light grey gradient background.
bg60k,43732.png,dress,0,women dresses,8.75,10,10,9,7,plain,False,The product is displayed against a completely white background.
bg60k,43362.png,dress,0,women dresses,8.5,9,10,8,7,plain,False,"The product is displayed against a solid, muted green background with a subtle gradient and a blurred, abstract shape at the bottom."
bg60k,13879.png,dress,0,women dresses,7.75,8,10,7,6,plain,False,"The product is displayed on a gradient green background with a subtle, blurred texture resembling fabric or a wall."
bg60k,17748.png,dress,0,women dresses,8.75,10,10,9,7,plain,False,"The background is a solid, uniform black colour."
bg60k,48130.png,dress,0,women dresses,7.75,6,10,8,7,lifestyle,False,"The product is placed on a surface surrounded by magazines and a chair, creating a styled lifestyle setting."
bg60k,13884.png,dress,0,women dresses,6.25,10,1,8,6,plain,False,"The image is significantly detracted by the large, distracting text overlays."
bg60k,23434.png,dress,0,women dresses,8.75,10,10,8,7,plain,False,"The product is displayed against a plain, light grey background with soft shadow effects."
bg60k,42520.png,dress,0,women dresses,8.75,10,10,9,6,plain,False,"The product is presented against a solid, light grey background."
