dataset,filename,category,score,bg_class,reason
ecommerce118k,09d5ca57fad0e038174d849ad1888071.jpg,disinfectants and sanitizers,9.5,plain,A plain white background.
bg60k,50814.png,Men cleansing,9.5,lifestyle,A plain beige background with a small plant and rock.
bg60k,60626.png,Cutlery Set,9.0,lifestyle,A blurred lifestyle setting with a hint of greenery.
bg60k,59880.png,women backpack,9.75,plain,"A plain, neutral-colored background with soft shadows."
bg60k,60630.png,solid wood sofa,9.25,plain,A plain white background with a subtle gradient at the bottom.
bg60k,8909.png,keyboard,9.0,lifestyle,Abstract geometric pattern with dark colors.
bg60k,27214.png,Storage bag or bag,9.5,lifestyle,"A clean, styled lifestyle setting with wooden furniture and curtains."
bg60k,49802.png,gold chain,9.25,plain,A clean red background with a subtle shadow effect.
bg60k,16948.png,women underwear,9.0,lifestyle,Styled lifestyle setting with wooden surface and soft fabric.
bg60k,41322.png,Taiwan fishing rod,9.0,plain,A gradient blue background with a subtle texture.
bg60k,41769.png,Early childhood education,9.0,lifestyle,A styled lifestyle setting with pastel colors and decorative elements.
bg60k,29358.png,Wok,9.75,plain,"A plain, dark background that does not distract from the product."
bg60k,43736.png,Men casual shoes,9.5,plain,"The product is displayed on a wooden surface with a dark, plain background."
bg60k,20510.png,Men slippers,9.75,plain,"A plain, neutral grey background."
bg60k,11968.png,running shoes,9.75,plain,A gradient background transitioning from orange to blue.
bg60k,55626.png,baby wipes,9.0,lifestyle,The background features a water surface with a cloudy sky.
bg60k,20296.png,cell phone,9.75,plain,Plain white background with no distractions.
bg60k,10424.png,Men business or formal leather shoes,9.75,plain,"A clean, minimalistic studio setting with a grey backdrop."
bg60k,12630.png,Pastries or Snacks,9.75,plain,"A clean, two-tone red and white background."
bg60k,36501.png,coat rack,9.0,plain,A plain wall with a curtain on the left side.
bg60k,26851.png,men backpack,8.25,lifestyle,A cloudy sky and cityscape visible behind the product.
bg60k,58680.png,Micro-wave oven,9.0,lifestyle,"Wooden surface with a small plant, minimalistic setting."
bg60k,6366.png,women underwear,9.0,lifestyle,"The background is a soft, neutral fabric with gentle lighting."
bg60k,28209.png,Bluetooth or Wireless Headphones,9.25,lifestyle,A styled lifestyle background with a blue wall and white paneling.
bg60k,6702.png,refrigerator,9.25,lifestyle,A clean blue wall with wooden flooring.
bg60k,28581.png,plastic cup,9.75,lifestyle,A styled lifestyle background with a pink theme.
bg60k,49588.png,travel tea set,9.0,lifestyle,"A clean, styled lifestyle setting with a table and home decor."
bg60k,19460.png,second-hand phone,9.5,lifestyle,"A modern, minimalistic setting with geometric shapes and soft lighting."
bg60k,33131.png,running shoes,9.75,plain,A gradient background with soft colors.
bg60k,1165.png,rescue equipment,7.25,plain,The background is plain and white.
bg60k,55555.png,rice,9.25,plain,A plain white background with a decorative border.
bg60k,23080.png,fragrant,9.75,plain,"A plain, neutral-colored background."
bg60k,22341.png,Eye Cream or Eye Essence,9.0,lifestyle,"A soft, pastel background with cherry blossoms."
bg60k,55504.png,Roller skating,9.25,lifestyle,"A bright, modern indoor setting with large windows."
bg60k,13958.png,casual pants,9.0,plain,A gradient background transitioning from light to dark gray.
bg60k,57020.png,men sandals,9.5,lifestyle,Natural outdoor setting with rocks and greenery.
bg60k,42329.png,basketball shoes,9.75,plain,A plain black reflective surface.
bg60k,32460.png,electric kettle,9.0,lifestyle,A clean kitchen countertop with cups and a tiled wall.
bg60k,55066.png,Bluetooth or Wireless Headphones,9.0,lifestyle,"The background is a stylized, colorful setting with geometric shapes and lighting effects."
bg60k,15807.png,Pastries or Snacks,9.5,plain,A plain light green background.
bg60k,15695.png,Men business or formal leather shoes,9.75,plain,A plain beige background with a white platform.
bg60k,52348.png,Laundry detergent or soap,9.0,lifestyle,A laundry room setting with towels and a washing machine.
bg60k,26994.png,gold earrings,9.0,plain,A textured green surface with shadows.
bg60k,28237.png,Men slippers,8.5,lifestyle,"A clean, styled lifestyle setting with a table and minimal objects."
bg60k,15217.png,Gastrointestinal care,8.25,lifestyle,A styled lifestyle setting with candles and a shelf.
bg60k,60656.png,electric fan,9.0,lifestyle,A styled lifestyle setting with a textured wall and wooden surface.
bg60k,30902.png,Flip Chart or Fold Chart,8.75,plain,A plain blue background with a slight gradient.
bg60k,6201.png,Lunch box or pot,9.0,lifestyle,A neatly arranged lifestyle setting with a table and chair.
bg60k,42308.png,air conditioner,9.75,plain,"A plain, textured wall with a subtle gradient."
bg60k,19980.png,cell phone,8.25,plain,A plain black background behind the product.
bg60k,31522.png,This booklet or notes,9.0,lifestyle,A stylized lifestyle background with soft shadows and a gradient effect.
ecommerce118k,637fd9a25cb05159a94b126bfcdd5081.jpg,sneakers,6.5,cluttered,Background is cluttered and distracting.
ecommerce118k,141f2e495c96d5eae68f37716a8e58f8.jpg,food storage and tableware,6.0,plain,Text overlays are distracting.
ecommerce118k,ef6d62b42f4fc242e42fb47cd79b3a40.jpg,men fashion,7.25,plain,Plain white background with minimal shadows.
ecommerce118k,ad7614c54ab130a832ab1c3933dbca5b.jpg,earring,9.75,plain,Plain white background with no distractions.
ecommerce118k,8095591d71c190b14660e8ee743452d7.jpg,toy cars,6.5,plain,A plain white surface with some shadows.
ecommerce118k,afc41e6c42cb0070a3ad57155d250236.jpg,laptop,5.25,plain,Excessive text overlays detract from product focus.
ecommerce118k,102ec2b14adb98b618805a1327d1dfe7.jpg,personal protective equipment,5.5,cluttered,"The background is cluttered with multiple boxes, distracting from the product."
ecommerce118k,2e47bd5a79553e4bb507caa32a5d9b83.jpg,disinfectants and sanitizers,6.25,plain,Plain white background with text overlay.
ecommerce118k,cfdbf9546ec96ecc79dd72b72f5d9720.jpg,jacket,9.25,plain,A plain white studio background.
ecommerce118k,d47ebf85a50486ac02bac23586d8b89a.jpg,makeup,6.75,plain,Plain white background with shadow.
ecommerce118k,39a9d012cae2c1a1ff1cfd4e5f71ab5a.jpg,toy cars,8.5,plain,A plain surface with no distracting elements.
ecommerce118k,1917dfd102e6b61735c00dcfd0c3b846.jpg,home decor,9.75,plain,Plain white background with no distractions.
ecommerce118k,6af0073fd8696a3d9eee04db30c9afdf.jpg,coffee,9.25,plain,Plain white background with no distractions.
ecommerce118k,510e1e99f9f817bb5949319b74ec0eef.jpg,sports,5.75,plain,Text overlay is distracting.
ecommerce118k,e1a3a11c43452ff3f995f317d57290a2.jpg,rice cooker,7.0,plain,Plain white background with slight shadows.
ecommerce118k,e0419901010f3d13a135e97feb76b614.jpg,feeding and nursing,8.0,plain,Plain white background with no distractions.
ecommerce118k,c39c986ba090946cd0aa8c19677ed9d2.jpg,clock,6.5,plain,Plain white background with a red border.
