dataset,filename,category,score,bg_class,reason
bg60k,50814.png,Men cleansing,9.0,plain,The product is set against a gradient beige background with a textured grey surface at the bottom.
bg60k,60626.png,Cutlery Set,8.5,lifestyle,The product is set on a dark wooden surface with blurred green foliage visible in the upper left corner.
bg60k,59880.png,women backpack,8.5,plain,"The product is set against a softly textured, gradient beige background."
bg60k,60630.png,solid wood sofa,8.5,plain,The product is set against a gradient grey background that transitions from lighter to darker towards the bottom.
bg60k,8909.png,keyboard,8.5,lifestyle,"The background features a dynamic, abstract design with intersecting red and blue light streaks and a subtle geometric pattern."
bg60k,27214.png,Storage bag or bag,8.0,lifestyle,"The product is set against a blurred background of a room with wooden flooring, a dresser, and a white bed."
bg60k,49802.png,gold chain,8.75,plain,"The product is set against a solid, bright red background."
bg60k,16948.png,women underwear,7.75,lifestyle,"The product is displayed on a light wood surface with a round tray, surrounded by decorative elements like tulle and balls of yarn."
bg60k,41322.png,Taiwan fishing rod,6.25,plain,"The image is heavily covered in text and markings on the product itself, which detracts from its visual appeal."
bg60k,41769.png,Early childhood education,7.25,plain,"The product is set against a gradient background transitioning from light pink to lavender, with scattered gold coins and pastel-colored balls."
bg60k,29358.png,Wok,9.0,plain,"The product is set against a dark, textured gradient background resembling fabric or paper."
bg60k,43736.png,Men casual shoes,8.5,plain,"The product is placed on a wooden surface with a black metal grid box behind it, set against a gradient grey background."
bg60k,20510.png,Men slippers,8.75,plain,"The product is set against a solid, neutral grey gradient background."
bg60k,11968.png,running shoes,8.75,plain,"The background is a gradient of blue and pink, transitioning from light to dark."
bg60k,55626.png,baby wipes,7.5,lifestyle,"The product is placed on a reflective surface resembling water with a blurred, abstract background suggesting a watery or cloudy environment."
bg60k,20296.png,cell phone,9.25,plain,"The background is a solid, deep black colour."
bg60k,10424.png,Men business or formal leather shoes,9.0,plain,The product is displayed on a white surface against a gradient grey background.
bg60k,12630.png,Pastries or Snacks,8.5,plain,"The product is set against a plain, two-toned background of white and red."
bg60k,36501.png,coat rack,8.5,plain,The product is set against a plain off-white wall with a portion of a beige curtain visible on the left side.
bg60k,26851.png,men backpack,8.5,lifestyle,The background is a blurred cityscape with a grey surface below the backpack.
bg60k,58680.png,Micro-wave oven,7.75,lifestyle,The microwave is placed on a light wood-grain surface with a blurred green object visible in the background.
bg60k,6366.png,women underwear,8.25,lifestyle,"The product is displayed on a soft, textured pink surface with scattered floral arrangements and a decorative plate."
bg60k,28209.png,Bluetooth or Wireless Headphones,8.5,plain,The product is set against a solid blue background with a light grey and white textured surface below it.
bg60k,6702.png,refrigerator,8.5,lifestyle,The product is set against a blue wall with paneling and a light wood floor.
bg60k,28581.png,plastic cup,8.0,plain,The product is placed on a light pink surface with a repeating geometric pattern in the background.
bg60k,49588.png,travel tea set,7.75,lifestyle,The product is placed on a light-coloured wooden surface with a blurred interior room visible in the background.
bg60k,19460.png,second-hand phone,9.0,plain,"The product is set against a dark, gradient-toned backdrop with subtle geometric shapes suggesting a modern, minimalist studio environment."
bg60k,33131.png,running shoes,9.0,plain,"The product is set against a soft, gradient background transitioning from pale peach to mint green with a subtle, blurred ribbon-like shape."
bg60k,1165.png,rescue equipment,5.5,plain,"The image is significantly marred by large, distracting watermarks."
bg60k,55555.png,rice,7.5,lifestyle,"The product is placed on a textured, light blue surface with a decorative floral border around the edges of the image."
bg60k,23080.png,fragrant,9.25,plain,"The product is presented on a plain, light grey surface."
bg60k,22341.png,Eye Cream or Eye Essence,9.0,lifestyle,The product is set against a blurred background of pink cherry blossoms.
bg60k,55504.png,Roller skating,8.5,plain,The product is set against a gradient red background with white angled lines.
bg60k,13958.png,casual pants,9.25,plain,"The product is displayed against a smooth, gradient grey background."
bg60k,57020.png,men sandals,8.0,lifestyle,"The background appears to be a blurred, natural outdoor environment with greenery and rocks."
bg60k,42329.png,basketball shoes,9.0,plain,"The product is displayed on a reflective surface against a dark, gradient black background with subtle speckling."
