pool_b_id,human_score,model_pred,error
PB001,8.5,8.9396333694458,0.4396333694458008
PB002,8.0,8.546088218688965,0.5460882186889648
PB003,8.0,8.965581893920898,0.9655818939208984
PB004,8.5,8.874444961547852,0.37444496154785156
PB005,8.75,8.773659706115723,0.023659706115722656
PB006,8.0,8.726297378540039,0.7262973785400391
PB007,7.5,8.390636444091797,0.8906364440917969
PB008,9.0,8.671965599060059,-0.3280344009399414
PB009,8.5,9.032577514648438,0.5325775146484375
PB010,8.75,8.674681663513184,-0.0753183364868164
PB011,8.5,8.499031066894531,-0.00096893310546875
PB012,8.5,8.728219032287598,0.22821903228759766
PB013,8.5,8.70226764678955,0.20226764678955078
PB014,8.5,8.898493766784668,0.39849376678466797
PB015,6.5,6.755019664764404,0.2550196647644043
PB016,7.5,8.559025764465332,1.059025764465332
PB017,8.0,8.071640968322754,0.0716409683227539
PB018,6.5,6.622342586517334,0.12234258651733398
PB019,8.0,8.19650936126709,0.19650936126708984
PB020,7.5,8.313614845275879,0.8136148452758789
PB021,8.0,8.699054718017578,0.6990547180175781
PB022,7.5,7.842887878417969,0.34288787841796875
PB023,7.0,7.103449821472168,0.10344982147216797
PB024,8.5,8.61600399017334,0.11600399017333984
PB025,7.5,7.852779388427734,0.3527793884277344
PB026,6.5,6.737776279449463,0.2377762794494629
PB027,7.5,7.594885349273682,0.09488534927368164
PB028,7.5,8.910760879516602,1.4107608795166016
PB029,9.0,7.988228797912598,-1.0117712020874023
PB030,7.5,8.045426368713379,0.5454263687133789
PB031,8.5,8.276715278625488,-0.22328472137451172
PB032,8.0,8.161569595336914,0.16156959533691406
PB033,7.5,6.1818060874938965,-1.3181939125061035
PB034,8.5,8.776429176330566,0.2764291763305664
PB035,7.5,7.133356094360352,-0.36664390563964844
PB036,7.0,7.517003536224365,0.5170035362243652
PB037,6.0,6.530914783477783,0.5309147834777832
PB038,8.0,8.44572639465332,0.4457263946533203
PB039,7.0,8.312034606933594,1.3120346069335938
PB040,8.5,8.065488815307617,-0.4345111846923828
PB041,7.5,6.957590579986572,-0.5424094200134277
PB042,5.5,6.1968231201171875,0.6968231201171875
PB043,8.0,7.5657501220703125,-0.4342498779296875
PB044,8.5,8.750432014465332,0.25043201446533203
PB045,7.0,7.6127448081970215,0.6127448081970215
PB046,7.0,7.3269500732421875,0.3269500732421875
PB047,8.5,8.365662574768066,-0.1343374252319336
PB048,7.75,7.949662685394287,0.1996626853942871
PB049,8.0,7.810470104217529,-0.1895298957824707
PB050,8.75,9.118257522583008,0.3682575225830078
PB051,8.5,8.535725593566895,0.03572559356689453
PB052,8.5,8.434809684753418,-0.06519031524658203
PB053,8.0,7.6278815269470215,-0.3721184730529785
PB054,8.0,8.236881256103516,0.23688125610351562
PB055,8.5,8.897857666015625,0.397857666015625
PB056,7.0,6.877068996429443,-0.12293100357055664
PB057,8.0,7.4216742515563965,-0.5783257484436035
PB058,8.25,8.373680114746094,0.12368011474609375
PB059,8.0,8.455766677856445,0.4557666778564453
PB060,8.5,8.300944328308105,-0.19905567169189453
PB061,8.25,7.86931848526001,-0.38068151473999023
PB062,8.0,8.491714477539062,0.4917144775390625
PB063,8.5,8.643852233886719,0.14385223388671875
PB064,7.0,7.159831523895264,0.15983152389526367
PB065,7.0,7.175236225128174,0.17523622512817383
PB066,8.0,8.262864112854004,0.2628641128540039
PB067,7.0,6.7451701164245605,-0.25482988357543945
PB068,7.0,5.8594794273376465,-1.1405205726623535
PB069,7.5,7.805384635925293,0.30538463592529297
PB070,7.0,7.008903980255127,0.008903980255126953
PB071,8.0,8.025176048278809,0.025176048278808594
PB072,8.5,8.397513389587402,-0.10248661041259766
PB073,9.0,8.224421501159668,-0.775578498840332
PB074,8.5,9.10506534576416,0.6050653457641602
PB075,5.5,5.482362747192383,-0.017637252807617188
PB076,8.5,8.658698081970215,0.15869808197021484
PB077,8.25,8.235536575317383,-0.014463424682617188
PB078,9.0,9.04825496673584,0.048254966735839844
PB079,8.0,8.630976676940918,0.630976676940918
PB080,7.5,7.476214408874512,-0.02378559112548828
PB081,7.5,7.172464847564697,-0.32753515243530273
PB082,7.0,7.122166156768799,0.12216615676879883
PB083,8.5,8.741792678833008,0.2417926788330078
PB084,8.5,8.774764060974121,0.2747640609741211
PB085,9.0,8.666463851928711,-0.33353614807128906
PB086,8.75,8.338591575622559,-0.4114084243774414
PB087,9.0,9.23370361328125,0.23370361328125
PB088,7.25,7.669690132141113,0.4196901321411133
PB089,8.5,9.080153465270996,0.5801534652709961
PB090,9.0,9.213706016540527,0.21370601654052734
PB091,9.0,8.877969741821289,-0.12203025817871094
PB092,8.5,8.699690818786621,0.1996908187866211
PB093,7.5,8.08122730255127,0.5812273025512695
PB094,8.0,7.789246082305908,-0.2107539176940918
PB095,7.25,7.814528942108154,0.5645289421081543
PB096,8.75,8.22600269317627,-0.5239973068237305
PB097,9.0,9.102502822875977,0.10250282287597656
PB098,9.0,8.961068153381348,-0.038931846618652344
PB099,8.5,8.209822654724121,-0.2901773452758789
PB100,8.5,8.657764434814453,0.15776443481445312
