dataset,filename,category,score,bg_class,reason
bg60k,50814.png,Men cleansing,9.5,plain,"A plain, neutral beige studio wall with soft lighting and a small decorative stone and pine branch at the base."
bg60k,60626.png,Cutlery Set,9.25,lifestyle,"A plain, out-of-focus gray wall with a blurred green plant branch in the upper left corner."
bg60k,59880.png,women backpack,9.25,plain,"A soft, neutral-toned fabric backdrop with gentle folds, creating a clean, studio-like setting."
bg60k,60630.png,solid wood sofa,9.25,plain,"A plain, solid white studio background with a subtle grey border at the top and bottom."
bg60k,8909.png,keyboard,8.75,lifestyle,"A stylized, abstract geometric pattern in dark red and black with angular shapes and light streaks."
bg60k,27214.png,Storage bag or bag,8.25,lifestyle,A wooden floor with a wooden dresser and white curtains in the background.
bg60k,49802.png,gold chain,9.25,plain,"A solid, rich red surface with a small portion of a red jewelry box visible in the upper right corner."
bg60k,16948.png,women underwear,8.75,lifestyle,"A styled lifestyle scene with wooden furniture, white ceramic vases, sheer curtains, and a wooden tray with decorative elements."
bg60k,41322.png,Taiwan fishing rod,9.25,plain,A gradient blue studio background with a subtle dot pattern.
bg60k,41769.png,Early childhood education,9.0,lifestyle,"A soft, pastel-colored studio background with a gradient from pink to light blue, with a few scattered toy coins and balls in the foreground."
bg60k,29358.png,Wok,9.0,plain,"A plain, dark textured surface that provides contrast to the wok."
bg60k,43736.png,Men casual shoes,9.0,lifestyle,A black metal grid-like structure sits behind the shoes on a wooden surface against a dark gray backdrop.
bg60k,20510.png,Men slippers,9.0,plain,"A plain, neutral gray studio background with a white product box partially visible beneath the sandals."
bg60k,11968.png,running shoes,9.5,plain,A smooth gradient transitioning from peach to light blue.
bg60k,55626.png,baby wipes,8.25,lifestyle,"The product packages are floating in water under a cloudy sky, creating a clean, natural, and slightly surreal aquatic setting."
bg60k,20296.png,cell phone,10.0,plain,"The product is set against a solid black background, which isolates the phone and makes it the sole focus."
bg60k,10424.png,Men business or formal leather shoes,9.25,plain,"A clean, minimalist studio background with a light gray textured wall and white geometric blocks supporting the shoes."
bg60k,12630.png,Pastries or Snacks,9.5,plain,"A clean, solid red wall with a white horizontal stripe behind a white bowl containing the product."
bg60k,36501.png,coat rack,8.75,lifestyle,"A plain white wall and a grey curtain on the left side, with a clean floor and corner of a room."
bg60k,26851.png,men backpack,8.75,lifestyle,"A blurred cityscape viewed from a high-rise building with a cloudy sky, positioned behind the backpack on a tiled floor."
bg60k,58680.png,Micro-wave oven,8.75,lifestyle,"A clean, minimalist wooden countertop and white wall with a small green vase on the right."
bg60k,6366.png,women underwear,9.0,lifestyle,"A soft, light-colored fabric surface with a decorative plate, dried flower, and pillow in the background."
bg60k,28209.png,Bluetooth or Wireless Headphones,8.25,lifestyle,"A clean, stylized lifestyle scene with a blue textured wall and a white marble countertop."
bg60k,6702.png,refrigerator,9.5,lifestyle,"A clean, modern blue paneled wall with wooden flooring."
bg60k,28581.png,plastic cup,8.25,lifestyle,"A stylized pink geometric patterned backdrop with abstract shapes and text, creating a clean, modern studio aesthetic."
bg60k,49588.png,travel tea set,9.0,lifestyle,"A clean, minimalist lifestyle setting with a white table, beige textured runner, and a blurred wooden bench and radiator in the background."
bg60k,19460.png,second-hand phone,9.5,plain,"A dark, minimalist studio setting with geometric shapes and reflective surfaces."
bg60k,33131.png,running shoes,9.25,plain,"A smooth, curved surface with a gradient of soft pastel colors, transitioning from light green to pink, creating a clean, studio-like aesthetic."
bg60k,1165.png,rescue equipment,7.75,plain,"The background is a plain, off-white surface with a subtle texture, appearing clean and uncluttered."
bg60k,55555.png,rice,9.0,plain,"A clean, white studio background with a subtle gradient and decorative gold cloud motifs in the corners."
bg60k,23080.png,fragrant,9.25,plain,"A plain, solid beige studio background with soft, even lighting."
bg60k,22341.png,Eye Cream or Eye Essence,9.25,lifestyle,A soft gradient of light blue and pink with blurred cherry blossom branches on the left and right sides.
bg60k,55504.png,Roller skating,8.25,plain,"A bright, minimalist indoor space with white walls and a grid-like ceiling structure, suggesting a clean studio or modern gym environment."
